vin_1_10,state,city,county,ev_type,make,model,Sum of model_year
1N4AZ0CP5F,WA,Des Moines,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2015
1N4AZ0CP6D,WA,Shoreline,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2013
1N4AZ0CP6E,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2014
1N4AZ0CP6F,WA,Kirkland,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2015
1N4AZ0CP7D,WA,Shoreline,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2013
1N4AZ0CP7E,WA,Bothell,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2014
1N4AZ0CP7F,WA,Camas,Clark,Battery Electric Vehicle (BEV),NISSAN,LEAF,2015
1N4AZ0CP8D,WA,Bellevue,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2013
1N4AZ0CP8F,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2015
1N4AZ0CP9E,WA,Sammamish,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2014
1N4AZ0CPXD,WA,Kirkland,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2013
1N4AZ0CPXF,WA,Olympia,Thurston,Battery Electric Vehicle (BEV),NISSAN,LEAF,2015
1N4AZ1BP1L,WA,Yakima,Yakima,Battery Electric Vehicle (BEV),NISSAN,LEAF,2020
1N4AZ1BV1P,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2023
1N4AZ1BV2M,WA,Port Townsend,Jefferson,Battery Electric Vehicle (BEV),NISSAN,LEAF,2021
1N4AZ1BV2N,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2022
1N4AZ1BV2P,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2023
1N4AZ1BV4M,WA,Auburn,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2021
1N4AZ1CP0J,WA,Spokane,Spokane,Battery Electric Vehicle (BEV),NISSAN,LEAF,2018
1N4AZ1CP0K,WA,Vashon,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2019
1N4AZ1CP1J,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2018
1N4AZ1CP2K,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2019
1N4AZ1CP3J,WA,Poulsbo,Kitsap,Battery Electric Vehicle (BEV),NISSAN,LEAF,2018
1N4AZ1CP3K,WA,Bellevue,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2019
1N4AZ1CP5J,WA,Shoreline,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2018
1N4AZ1CP5K,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2019
1N4AZ1CP7J,WA,Brier,Snohomish,Battery Electric Vehicle (BEV),NISSAN,LEAF,2018
1N4AZ1CP7K,WA,Burlington,Skagit,Battery Electric Vehicle (BEV),NISSAN,LEAF,2019
1N4AZ1CP9J,WA,Lynnwood,Snohomish,Battery Electric Vehicle (BEV),NISSAN,LEAF,2018
1N4AZ1CP9L,WA,Dupont,Pierce,Battery Electric Vehicle (BEV),NISSAN,LEAF,2020
1N4AZ1CPXK,WA,Everett,Snohomish,Battery Electric Vehicle (BEV),NISSAN,LEAF,2019
1N4AZ1CV0N,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2022
1N4AZ1CV5M,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2021
1N4AZ1CV8N,WA,Bothell,Snohomish,Battery Electric Vehicle (BEV),NISSAN,LEAF,2022
1N4BZ0CP1G,WA,Redmond,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2016
1N4BZ0CP2G,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2016
1N4BZ0CP2H,WA,Redmond,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2017
1N4BZ0CP3G,WA,Vancouver,Clark,Battery Electric Vehicle (BEV),NISSAN,LEAF,2016
1N4BZ0CP3H,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2017
1N4BZ0CP5H,WA,Olympia,Thurston,Battery Electric Vehicle (BEV),NISSAN,LEAF,2017
1N4BZ0CP7H,WA,Snohomish,Snohomish,Battery Electric Vehicle (BEV),NISSAN,LEAF,2017
1N4BZ0CP8G,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2016
1N4BZ0CP9G,WA,Bainbridge Island,Kitsap,Battery Electric Vehicle (BEV),NISSAN,LEAF,2016
1N4BZ0CPXG,WA,Marysville,Snohomish,Battery Electric Vehicle (BEV),NISSAN,LEAF,2016
1N4BZ1BP9L,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2020
1N4BZ1BV2N,WA,Port Angeles,Clallam,Battery Electric Vehicle (BEV),NISSAN,LEAF,2022
1N4BZ1BV4M,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2021
1N4BZ1BV6M,WA,Bothell,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2021
1N4BZ1CP2L,WA,Seattle,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2020
1N4BZ1CP4K,WA,Shoreline,King,Battery Electric Vehicle (BEV),NISSAN,LEAF,2019
